Time,Speed,Location,County,State,Lat,Lon,Comments
0119,85,1 SSE ADDISON,DUPAGE,IL,41.92,-87.98,AN NWS STORM SURVEY CONFIRMED THAT A SWATH OF DAMAGE ACROSS THE SOUTH AND EAST SIDES OF ADDISON WAS CAUSED BY STRONG STRAIGHT-LINE WINDS OF UP TO APPROXIMATELY 85 MPH. (LOT)
0119,UNK,1 SSE ROLLING MEADOWS,COOK,IL,42.06,-88.02,[DELAYED REPORT] POWER LINES DOWNED ALONG ALGONQUIN RD IN ROLLING MEADOWS. TIME ESTIMATED FROM RADAR. (LOT)
0120,UNK,5 SW CYPRESS,PULASKI,IL,37.31,-89.08,SEVERAL TREES DOWN IN THE SMALL TOWN OF PERKS. (PAH)
0120,73,2 SE URBANA,CHAMPAIGN,IL,40.08,-88.19,(ILX)
0120,61,2 SE LEMONT,COOK,IL,41.66,-87.98,MEASURED AT LEMONT EOC. (LOT)
0120,UNK,WEST DUNDEE,KANE,IL,42.1,-88.28,APPROXIMATELY 12 INCH DIAMETER TREE TRUNK UPROOTED. MANY SMALL TO MEDIUM SIZE BRANCHES ALSO DOWNED IN THE AREA. (LOT)
0122,UNK,1 NE MCHENRY,MCHENRY,IL,42.35,-88.26,WIRES DOWNED ON RIVERSIDE DRIVE IN MCHENRY. TIME ESTIMATED FROM RADAR. (LOT)
0127,UNK,SEATON,MERCER,IL,41.1,-90.8,REPORT FROM BRENT COLLINS... CHIEF OF THE VOLUNTEER FD. DAMAGE SEEMED MORE SEVERE THAN STRAIGHT LINE WINDS... MISSING SHINGLES... DESTROYED AND DAMAGED OUTBUILDINGS ON (DVN)
0128,UNK,DUNNING - CHICAGO,COOK,IL,41.94,-87.81,[DELAYED REPORT] TREE DOWNED. TIME ESTIMATED FROM RADAR. (LOT)
0130,UNK,2 SW SLAYDEN,MARSHALL,MS,34.93,-89.48,REPORT FROM MPING: TREES UPROOTED OR SNAPPED; ROOF BLOWN OFF. (MEG)
0130,UNK,1 NNE PATOKA,MARION,IL,38.76,-89.09,LARGE WEIGHTED PATIO TABLE BLOWN INTO TWO TRUCKS... DAMAGING THEM. (LSX)
0131,UNK,1 SE BURBANK,COOK,IL,41.73,-87.76,[DELAYED REPORT] PINE TREE UPROOTED. (LOT)
0132,62,MIDWAY AIRPORT,COOK,IL,41.79,-87.75,[DELAYED REPORT] KMDW ASOS PEAK GUST. (LOT)
0135,70,1 SE HOOPESTON,VERMILION,IL,40.46,-87.66,REPORTED AT THE HOSPITAL IN HOOPESTON. (ILX)
